date,PX_OPEN,PX_HIGH,PX_LOW,PX_LAST
2016-06-24,106.13,106.85,99.08,102.09
2016-06-23,104.39,106.19,104.09,106.13
2016-06-22,104.73,104.86,104.29,104.39
2016-06-21,103.93,105.06,103.57,104.73
2016-06-20,104.33,104.86,103.76,103.93
2016-06-17,104.25,104.84,104.07,104.33
2016-06-16,106,106.03,103.58,104.25
2016-06-15,106.1,106.39,105.46,106
2016-06-14,106.25,106.42,105.6,106.1
2016-06-13,106.9,106.92,105.72,106.25
2016-06-10,107.06,107.28,106.53,106.9
2016-06-09,106.96,107.19,106.24,107.06
2016-06-08,107.33,107.39,106.57,106.96
2016-06-07,107.55,107.92,107.14,107.33
2016-06-06,106.43,107.66,106.35,107.55
2016-06-03,108.86,109.14,106.48,106.43
2016-06-02,109.52,109.59,108.49,108.86
2016-06-01,110.68,110.83,109.03,109.52
2016-05-31,111.1,111.37,110.48,110.68
2016-05-30,110.4,111.45,110.29,111.1
2016-05-27,109.75,110.47,109.45,110.4
2016-05-26,110.17,110.25,109.38,109.75
2016-05-25,109.98,110.47,109.84,110.17
2016-05-24,109.22,110.12,109.14,109.98
2016-05-23,110.08,110.25,109.08,109.22
2016-05-20,109.95,110.59,109.83,110.08
2016-05-19,110.18,110.39,109.68,109.95
2016-05-18,109.12,110.27,108.7,110.18
2016-05-17,109.01,109.66,108.82,109.12
2016-05-16,108.55,109.11,108.43,109.01
2016-05-13,109,109.5,108.5,108.55
2016-05-12,108.41,109.41,108.21,109
2016-05-11,109.25,109.39,108.34,108.41
2016-05-10,108.33,109.36,108.24,109.25
2016-05-09,107.1,108.61,107,108.33
2016-05-06,107.25,107.44,106.43,107.1
2016-05-05,106.99,107.5,106.78,107.25
2016-05-04,106.6,107.47,106.23,106.99
2016-05-03,106.4,106.69,105.52,106.6
2016-05-02,106.27,106.83,106.14,106.4
2016-04-29,108.09,108.2,106.27,106.27
2016-04-28,111.47,111.92,107.84,108.09
2016-04-27,111.3,111.77,111,111.47
2016-04-26,111.19,111.48,110.64,111.3
2016-04-25,111.54,111.92,110.82,111.19
2016-04-22,109.45,111.82,109.24,111.54
2016-04-21,109.86,109.91,109.29,109.45
2016-04-20,109.19,109.89,108.74,109.86
2016-04-19,108.8,109.52,108.73,109.19
2016-04-18,108.22,109,107.81,108.8
2016-04-15,109.37,109.77,108.57,108.22
2016-04-14,109.33,109.57,108.88,109.37
2016-04-13,108.53,109.41,108.48,109.33
2016-04-12,107.93,108.8,107.84,108.53
2016-04-11,108.05,108.44,107.61,107.93
2016-04-08,108.2,109.11,108.01,108.05
2016-04-07,109.78,109.86,107.67,108.2
2016-04-06,110.32,110.64,109.31,109.78
2016-04-05,111.32,111.36,109.94,110.32
2016-04-04,111.68,111.81,111.06,111.32
2016-04-01,112.56,112.59,111.56,111.68
2016-03-31,112.39,112.67,112.08,112.56
2016-03-30,112.69,112.81,111.99,112.39
2016-03-29,113.42,113.81,112.58,112.69
2016-03-28,113.08,113.7,113.03,113.42
2016-03-25,112.91,113.33,112.73,113.08
2016-03-24,112.37,113.02,112.27,112.91
2016-03-23,112.36,112.93,112.12,112.37
2016-03-22,111.94,112.5,111.36,112.36
2016-03-21,111.43,111.98,111.2,111.94
2016-03-18,111.38,111.77,110.8,111.43
2016-03-17,112.53,112.97,110.65,111.38
2016-03-16,113.14,113.83,112.31,112.53
2016-03-15,113.81,113.94,112.61,113.14
2016-03-14,113.82,114.02,113.48,113.81
2016-03-11,113.18,113.92,112.76,113.82
2016-03-10,113.34,114.45,112.61,113.18
2016-03-09,112.62,113.48,112.2,113.34
2016-03-08,113.45,113.52,112.41,112.62
2016-03-07,113.78,114.09,113.2,113.45
2016-03-04,113.68,114.26,113.15,113.78
2016-03-03,113.48,114.28,113.28,113.68
2016-03-02,114,114.58,113.19,113.48
2016-03-01,112.67,114.21,112.14,114
2016-02-29,113.84,114.01,112.62,112.67
2016-02-26,112.98,114,112.54,113.84
2016-02-25,112.17,113.03,111.87,112.98
2016-02-24,112.09,112.28,111.04,112.17
2016-02-23,112.88,113.06,111.75,112.09
2016-02-22,112.61,113.39,112.34,112.88
2016-02-19,113.23,113.4,112.28,112.61
2016-02-18,114.09,114.33,113.11,113.23
2016-02-17,114.06,114.52,113.35,114.09
2016-02-16,114.57,114.89,113.57,114.06
2016-02-15,113.2,114.72,113.04,114.57
2016-02-12,112.4,113.55,111.72,113.2
2016-02-11,113.31,113.59,110.98,112.4
2016-02-10,115.12,115.28,113.12,113.31
2016-02-09,115.84,115.86,114.22,115.12
2016-02-08,116.88,117.53,115.17,115.84
2016-02-05,116.77,117.42,116.42,116.88
2016-02-04,117.88,118.25,116.5,116.77
2016-02-03,119.94,120.06,117.03,117.88
2016-02-02,120.98,121.06,119.82,119.94
2016-02-01,121.1,121.48,120.66,120.98
2016-01-29,118.8,121.7,118.48,121.1
2016-01-28,118.67,119,118.39,118.8
2016-01-27,118.41,119.08,118.01,118.67
2016-01-26,118.29,118.62,117.63,118.41
2016-01-25,118.5,118.86,118.16,118.29
2016-01-22,117.7,118.89,117.52,118.5
2016-01-21,116.92,117.83,116.45,117.7
2016-01-20,117.61,117.69,115.96,116.92
2016-01-19,117.31,118.13,117.23,117.61
2016-01-18,116.88,117.47,116.55,117.31
2016-01-15,118.02,118.28,116.49,116.88
2016-01-14,117.66,118.28,117.27,118.02
2016-01-13,117.64,118.39,117.61,117.66
2016-01-12,117.73,118.08,117.2,117.64
2016-01-11,117.43,118.03,116.68,117.73
2016-01-08,117.66,118.77,117.42,117.43
2016-01-07,118.46,118.77,117.3,117.66
2016-01-06,119.05,119.17,118.22,118.46
2016-01-05,119.41,119.71,118.77,119.05
2016-01-04,120.27,120.47,118.68,119.41
2016-01-01,120.27,120.33,120.27,120.27
2015-12-31,120.49,120.6,119.98,120.27
2015-12-30,120.46,120.67,120.32,120.49
2015-12-29,120.38,120.5,120.2,120.46
2015-12-28,120.22,120.66,120.15,120.38
2015-12-25,120.46,120.48,120.02,120.22
2015-12-24,120.9,121,120.22,120.46
2015-12-23,121.06,121.14,120.78,120.9
2015-12-22,121.16,121.33,120.7,121.06
2015-12-21,121.21,121.55,120.83,121.16
2015-12-18,122.55,123.6,121.04,121.21
2015-12-17,122.19,122.88,122.17,122.55
2015-12-16,121.65,122.42,121.41,122.19
2015-12-15,121.02,121.82,120.55,121.65
2015-12-14,120.96,121.36,120.32,121.02
2015-12-11,121.58,122.22,120.57,120.96
2015-12-10,121.45,121.89,121.23,121.58
2015-12-09,122.92,123.06,121.05,121.45
2015-12-08,123.36,123.42,122.69,122.92
2015-12-07,123.2,123.47,123.12,123.36
2015-12-04,122.57,123.38,122.44,123.2
2015-12-03,123.24,123.58,122.27,122.57
2015-12-02,122.87,123.67,122.8,123.24
2015-12-01,123.08,123.29,122.62,122.87
2015-11-30,122.79,123.36,122.66,123.08
2015-11-27,122.6,122.89,122.28,122.79
2015-11-26,122.68,122.75,122.47,122.6
2015-11-25,122.51,122.95,122.23,122.68
2015-11-24,122.83,122.97,122.29,122.51
2015-11-23,122.77,123.28,122.73,122.83
2015-11-20,122.85,123.07,122.7,122.77
2015-11-19,123.62,123.64,122.6,122.85
2015-11-18,123.43,123.69,123.19,123.62
2015-11-17,123.17,123.5,123.14,123.43
2015-11-16,122.32,123.3,122.2,123.17
2015-11-13,122.59,123,122.43,122.32
2015-11-12,122.85,123.09,122.53,122.59
2015-11-11,123.16,123.25,122.73,122.85
2015-11-10,123.17,123.45,123,123.16
2015-11-09,123.14,123.61,122.95,123.17
2015-11-06,121.74,123.29,121.6,123.14
2015-11-05,121.56,122.01,121.35,121.74
2015-11-04,121.06,121.73,120.98,121.56
2015-11-03,120.73,121.23,120.57,121.06
2015-11-02,120.63,120.81,120.24,120.73
2015-10-30,121.12,121.47,120.26,120.63
2015-10-29,121.08,121.19,120.56,121.12
2015-10-28,120.44,121.28,120.23,121.08
2015-10-27,121.1,121.11,120.14,120.44
2015-10-26,121.41,121.53,120.59,121.1
2015-10-23,120.69,121.5,120.21,121.41
2015-10-22,119.9,120.79,119.59,120.69
2015-10-21,119.83,120.11,119.73,119.9
2015-10-20,119.47,119.98,119.38,119.83
2015-10-19,119.47,119.58,119.12,119.47
2015-10-16,118.88,119.69,118.8,119.47
2015-10-15,118.81,119.18,118.04,118.88
2015-10-14,119.73,119.81,118.62,118.81
2015-10-13,120.04,120.08,119.53,119.73
2015-10-12,120.24,120.28,119.86,120.04
2015-10-09,119.93,120.38,119.82,120.24
2015-10-08,120,120.12,119.6,119.93
2015-10-07,120.2,120.36,119.72,120
2015-10-06,120.46,120.58,120.08,120.2
2015-10-05,119.97,120.56,119.85,120.46
2015-10-02,119.92,120.42,118.67,119.97
2015-10-01,119.85,120.3,119.48,119.92
2015-09-30,119.72,120.38,119.54,119.85
2015-09-29,119.91,120.17,119.22,119.72
2015-09-28,120.51,120.59,119.67,119.91
2015-09-25,120.06,121.26,119.99,120.51
2015-09-24,120.25,120.41,119.21,120.06
2015-09-23,120.12,120.56,119.61,120.25
2015-09-22,120.56,120.64,119.68,120.12
2015-09-21,119.79,120.67,119.71,120.56
2015-09-18,119.98,120.3,119.03,119.79
2015-09-17,120.54,121.02,119.77,119.98
2015-09-16,120.4,120.73,120.08,120.54
2015-09-15,120.23,120.67,119.38,120.4
2015-09-14,120.58,120.84,119.83,120.23
